Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,3,1,7,4,0,1,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,1,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,1,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,2,3,4,1,1,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,4,6,5,5,3,4,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,4,0,2,3,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,12,11,11,14,6,10,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0,0,2,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,10,8,12,9,8,17,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,3,1,4,3,7,1,,,,,,
9,Ciudad de México,9002,Azcapotzalco,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0,,,,,,
